trial,starting x,starting y,Average Empire Area (Hexes),Average Empire Area (m^2),Number of Empires,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
68,14.952525848689593,30.18489475995253,204.92307692307693,176848615384.6154,26,10,0,3,2,2,1,0,3,0,2,2,1,0
69,17.482747974218448,43.496006443164255,245.0,211435000000.0,22,7,2,2,0,0,2,2,3,0,2,0,0,2
70,28.30819612341658,57.48454540454409,223.625,192988375000.0,24,8,1,3,1,1,1,1,2,1,2,2,1,0
71,24.228789870619877,30.18643081150278,189.28571428571428,163353571428.5714,28,12,4,1,0,3,1,0,1,1,1,1,1,2
72,26.93359146045256,39.07056425613157,186.3793103448276,160845344827.5862,29,11,2,0,3,2,1,3,4,1,1,1,0,0
73,15.360176614663455,27.6500380535479,185.44827586206895,160041862068.9655,29,9,2,4,1,4,1,2,2,1,1,2,0,0
74,-4.43359146160503,39.070564254119255,200.03703703703704,172631962962.96295,27,16,1,1,0,1,4,0,0,0,0,0,1,3
75,3.377583856249839,36.14433476394468,212.64,183508320000.0,25,12,1,0,1,0,3,3,0,1,0,0,1,3
76,41.25418746650503,26.71923595037751,205.34615384615384,177213730769.23077,26,12,1,1,1,3,1,0,1,1,1,2,0,2
77,-7.624857435869572,26.700783849450804,185.68965517241378,160250172413.7931,29,10,2,1,4,2,2,3,3,0,0,0,1,1
78,41.19748208736354,59.6887787724027,223.875,193204125000.0,24,7,1,1,3,1,2,3,2,1,2,0,0,1
79,38.881963649631125,38.788915353002025,201.62962962962962,174006370370.37036,27,10,3,1,2,1,1,1,3,0,1,2,0,2
80,20.49967862979895,42.91891336870234,206.80769230769232,178475038461.53848,26,8,3,1,2,2,2,0,3,3,0,1,0,1
81,-3.445806918537977,42.65310576188581,199.25925925925927,171960740740.74075,27,12,0,1,2,1,3,1,3,1,1,0,0,2
82,46.78421243791289,49.68602555814992,268.5,231715500000.0,20,5,0,2,2,1,2,2,1,0,0,2,2,1
83,22.898614032296194,54.580784092190775,257.3333333333333,222078666666.66666,21,7,0,1,1,0,2,3,1,2,1,1,1,1
84,17.123743843049994,39.31458758824096,215.12,185648560000.0,25,9,3,3,0,2,1,1,1,0,1,0,0,4
85,27.57102618633639,41.89951431583906,207.19230769230768,178806961538.46152,26,9,1,2,3,1,3,2,0,1,0,1,1,2
86,10.699044344095384,33.497198564249075,225.25,194390750000.0,24,8,3,2,0,2,0,2,0,0,4,1,0,2
87,9.149950737440987,50.301061574654895,216.24,186615120000.0,25,10,1,1,2,0,2,1,2,0,3,1,1,1
88,38.81307685477476,52.528639212313365,244.13636363636363,210689681818.18182,22,7,3,0,1,1,2,2,1,2,0,0,0,3
89,4.605166163822989,27.934112624292812,206.53846153846155,178242692307.69232,26,9,0,3,3,2,2,0,2,1,2,1,0,1
90,8.61473112139751,46.87958216804768,255.9047619047619,220845809523.8095,21,5,1,1,2,4,2,0,0,0,2,1,1,2
91,4.568650053786872,28.406504987722908,245.45454545454547,211827272727.27274,22,7,1,1,2,1,1,1,1,1,2,2,2,0
92,27.859872671508615,49.70671100025712,206.57692307692307,178275884615.3846,26,10,0,4,2,2,0,1,1,2,1,0,1,2
93,45.69375335885845,40.64507664069198,199.2962962962963,171992703703.7037,27,10,3,1,2,2,2,1,1,1,0,1,2,1
94,47.67685144018929,32.74052172671005,245.0909090909091,211513454545.45456,22,5,4,0,1,1,3,0,2,3,1,1,0,1
95,9.016271578495513,34.8769387513406,235.17391304347825,202955086956.52173,23,7,0,1,2,2,4,0,2,1,2,1,1,0
96,33.04739961499135,38.4611119816671,232.1304347826087,200328565217.3913,23,9,1,2,2,1,1,0,1,1,0,2,1,2
97,-0.056635175143808,47.61758023491509,242.5,209277500000.0,22,9,1,0,1,0,3,1,1,0,0,1,4,1
98,21.001262283805033,28.858213708296805,205.26923076923077,177147346153.84616,26,10,0,0,2,2,4,2,1,3,1,1,0,0
99,9.88187508078397,49.03937742130214,214.4,185027200000.0,25,8,2,1,1,4,2,0,2,1,2,1,0,1
100,18.468590174472713,51.91946644190744,244.4090909090909,210925045454.54544,22,8,1,1,0,2,3,0,2,0,0,1,1,3
101,4.684531232944735,46.75986980133618,207.30769230769232,178906538461.53848,26,12,1,0,1,0,5,1,1,0,0,2,0,3
102,31.84128284797365,40.24308248814455,185.48275862068965,160071620689.65518,29,11,1,4,1,3,1,1,3,2,0,0,1,1
103,1.975529448015567,47.34348968840058,224.08333333333334,193383916666.6667,24,7,2,2,2,2,1,1,1,2,1,1,1,1
104,7.882351251156133,35.45113248161987,255.76190476190476,220722523809.5238,21,5,4,0,0,1,2,1,1,0,3,4,0,0
