Cell,Elevation,Times Changed Hands
2091,764,418
2092,350,126
2093,90,274
2094,577,1
2095,523,248
2096,519,211
2097,588,165
2098,666,1
2099,629,6
2100,638,4
2101,305,31
2102,240,22
2103,831,224
2104,939,6
2105,385,412
2106,826,154
2107,954,157
2108,127,84
2109,550,344
2110,491,348
2111,547,51
2112,530,305
2113,638,2
2114,610,15
2115,339,6
2116,218,46
2117,41,44
2118,717,409
2119,649,511
2120,218,387
2121,974,2
2122,928,35
2123,329,109
2124,553,1
2125,521,254
2126,516,301
2127,650,2
2128,620,2
2129,488,7
2130,306,3
2131,99,47
2132,863,2
2133,686,195
2134,357,149
2135,1285,2
2136,975,2
2137,232,19
2138,553,2
2139,509,404
2140,542,7
2141,625,4
2142,575,6
2143,244,19
2144,154,24
2145,15,39
2146,222,73
2147,1107,1
2148,758,3
2149,69,383
2150,318,48
2151,897,14
2152,519,3
2153,585,1
2154,524,2
2155,467,237
2156,611,2
2157,587,2
2158,420,8
2159,158,10
2160,23,19
2161,349,199
2162,210,79
2163,18,489
2164,573,1
2165,1526,1
2166,269,21
2167,549,4
2168,462,425
2169,549,21
2170,596,6
2171,476,7
2172,265,12
2173,91,49
2174,1033,2
2175,382,98
2176,351,141
2177,645,2
2178,1383,2
2179,441,18
2180,513,2
2181,536,3
2182,571,255
2183,470,49
2184,371,26
2185,132,282
2186,-2,534
2187,642,205
2188,198,320
2189,143,35
2190,1027,3
2191,159,17
2192,528,4
2193,406,413
2194,531,502
2195,563,258
2196,419,147
2197,137,409
2198,71,466
2199,269,239
2200,294,385
2201,406,1
2202,568,5
2203,511,3
2204,506,221
2205,739,2
2206,467,495
2207,356,149
2208,165,55
2209,13,128
2210,233,81
2211,180,279
2212,468,4
2213,160,184
2214,486,5
2215,405,348
2216,600,2
2217,537,197
2218,413,347
2219,223,197
2220,79,25
2221,1211,1
2222,334,3
2223,1,258
2224,470,4
2225,497,5
2226,415,289
2227,551,3
2228,504,13
2229,197,584
2230,193,53
2231,60,8
2232,763,2
2233,575,2
2234,1,372
2235,432,133
2236,479,4
2237,551,1
2238,424,2
2239,359,2
2240,160,11
2241,300,1
2242,255,443
2243,94,206
2244,495,3
2245,400,571
2246,465,4
2247,599,1
2248,293,254
2249,244,2
2250,77,4
2251,743,2
2252,299,1
2253,449,521
2254,376,612
2255,516,1
2256,275,540
2257,358,2
2258,176,2
2259,1,5
2260,83,28
2261,249,474
2262,292,2
2263,452,3
2264,435,604
2265,543,2
2266,471,1
2267,249,2
2268,94,6
2269,72,346
2270,480,2
2271,456,4
2272,516,497
2273,395,353
2274,322,5
2275,193,7
2276,1,4
2277,313,2
2278,467,4
2279,545,4
2280,450,325
2281,253,355
2282,308,3
2283,73,6
2284,29,261
2285,521,2
2286,538,4
2287,349,153
2288,142,190
2289,268,6
2290,630,1
2291,461,3
2292,602,2
2293,458,2
2294,163,471
2295,301,3
2296,23,11
2297,36,5
2298,585,1
2299,582,1
2300,761,2
2301,332,33
2302,294,3
2303,205,8
2304,213,2
2305,386,2
2306,79,268
2307,461,1
2308,728,4
2309,509,5
2310,219,482
2311,199,9
2312,55,5
2313,66,53
2314,423,1
2315,364,249
2316,121,0
2317,275,348
2318,617,1
2319,820,1
2320,344,5
2321,235,5
2322,151,5
2323,11,531
2324,21,91
2325,122,83
2326,351,371
2327,1,215
2328,390,2
2329,506,2
2330,791,2
2331,504,2
2332,192,288
2333,85,370
2334,-40,461
2335,42,18
2336,70,86
2337,182,44
2338,645,1
2339,584,0
2340,86,91
2341,577,1
2342,544,4
2343,281,8
2344,135,442
2345,148,166
2346,19,211
2347,58,47
2348,125,115
2349,166,393
2350,224,1
2351,1,0
2352,379,11
2353,498,2
2354,325,5
2355,245,5
2356,231,2
2357,27,132
2358,41,26
2359,97,90
2360,150,258
2361,195,2
2362,114,50
2363,200,68
2364,352,4
2365,276,8
2366,195,457
2367,-2,200
2368,10,466
2369,25,183
2370,120,164
2371,156,197
2372,41,13
2373,237,0
2374,131,121
2375,290,2
2376,295,5
2377,236,10
2378,240,2
2379,77,8
2380,-1,607
2381,92,182
2382,147,200
2383,172,33
2384,83,261
2385,634,146
2386,293,4
2387,236,6
2388,184,552
2389,126,2
2390,26,18
2391,60,117
2392,118,243
2393,158,245
2394,7,568
2395,648,42
2396,240,23
2397,214,8
2398,191,3
2399,87,29
2400,24,298
2401,75,210
2402,133,189
2403,170,256
2404,186,64
2405,271,2
2406,233,8
2407,176,308
2408,122,197
2409,33,46
2410,48,487
2411,100,216
2412,160,55
2413,63,53
2414,254,6
2415,195,7
2416,155,234
2417,74,111
2418,89,2
2419,66,106
2420,109,92
2421,182,5
2422,220,9
2423,172,47
2424,114,224
2425,62,41
2426,54,306
2427,105,7
2428,143,26
2429,194,2
2430,192,14
2431,149,73
2432,64,160
2433,110,2
2434,54,526
2435,116,4
2436,178,7
2437,44,5
2438,206,5
2439,155,80
2440,96,381
2441,121,2
2442,77,6
2443,83,5
2444,163,6
2445,173,5
2446,170,518
2447,126,406
2448,121,2
2449,111,1
2450,44,670
2451,151,3
2452,190,2
2453,140,443
2454,103,102
2455,141,2
2456,78,11
2457,71,6
2458,177,5
2459,141,5
2460,180,2
2461,137,69
2462,142,2
2463,113,7
2464,56,407
2465,108,5
2466,204,2
2467,96,50
2468,164,1
2469,154,2
2470,135,12
2471,97,42
2472,19,474
2473,170,6
2474,215,3
2475,188,1
2476,142,12
2477,134,54
2478,88,45
2479,133,4
2480,215,1
2481,153,250
2482,204,1
2483,168,3
2484,147,35
2485,104,141
2486,73,452
2487,188,3
2488,211,243
2489,46,237
2490,215,1
2491,172,15
2492,137,205
2493,88,191
2494,138,7
2495,179,29
2496,221,1
2497,217,2
2498,156,171
2499,123,228
2500,33,561
2501,199,2
2502,148,439
2503,141,1
2504,288,1
2505,205,120
2506,143,299
2507,112,103
2508,140,5
2509,-13,236
2510,217,2
2511,235,2
2512,175,308
2513,144,88
2514,99,290
2515,-74,230
2516,28,237
2517,89,463
2518,226,284
2519,164,147
2520,103,133
2521,-43,373
2522,-66,343
2523,101,217
2524,14,178
2525,214,382
2526,183,114
2527,148,21
2528,70,368
2529,-81,512
2530,-40,257
2531,161,2
2532,242,2
2533,191,5
2534,127,353
2535,9,169
2536,-29,229
2537,3,85
2538,42,12
2539,202,11
2540,159,33
2541,161,5
2542,12,195
2543,115,1
2544,-4,26
2545,29,11
2546,295,1
2547,219,5
2548,143,599
2549,88,33
2550,81,395
2551,108,2
2552,92,31
2553,-1,172
2554,287,2
2555,161,316
2556,175,10
2557,161,142
2558,198,1
2559,102,42
2560,22,170
2561,0,241
2562,229,17
2563,195,4
2564,193,11
2565,178,498
2566,189,1
2567,126,73
2568,3,299
2569,1,118
2570,182,294
2571,202,6
2572,245,2
2573,225,2
2574,217,2
2575,34,261
2576,5,48
2577,267,2
2578,162,208
2579,227,19
2580,205,338
2581,274,1
2582,161,294
2583,11,182
2584,117,569
2585,93,74
2586,225,23
2587,160,452
2588,88,369
2589,138,168
2590,7,108
2591,83,167
2592,230,3
2593,124,148
2594,82,492
2595,189,3
2596,26,31
2597,170,4
2598,238,2
2599,195,6
2600,172,2
2601,13,229
2602,250,2
2603,173,2
2604,246,4
2605,125,10
2606,106,3
2607,36,6
2608,229,3
2609,261,3
2610,128,6
2611,57,3
2612,160,3
2613,408,2
2614,272,1
2615,219,3
2616,122,3
2617,163,3
2618,407,4
2619,290,2
2620,131,5
2621,154,1
2622,318,7
2623,866,2
2624,215,6
2625,121,4
2626,342,1
2627,438,3
2628,199,5
2629,287,1
2630,723,2
2631,280,2
2632,81,1
2633,533,3
2634,443,4
2635,279,1
2636,435,1
2637,675,2
2638,361,1
2639,720,1
2640,126,1
2641,551,1
2642,622,2
2643,497,1
2644,714,5
2645,297,10
2646,728,2
2647,347,2
2648,424,3
2649,138,7
2650,72,770
2651,1,695
2652,68,350
2653,18,432
2654,1,140
2655,386,103
2656,1045,255
2657,282,66
2658,411,6
2659,498,359
2660,81,521
2661,166,35
2662,69,422
2663,138,311
2664,233,125
2665,47,558
2666,181,34
2667,1092,183
2668,385,335
2669,1317,2
2670,242,2
2671,116,332
2672,399,103
2673,701,5
2674,197,7
2675,241,7
2676,197,3
2677,108,5
2678,103,4
2679,130,2
2680,119,7
2681,149,2
2682,163,4
2683,95,130
2684,123,4
2685,47,497
2686,106,541
2687,53,552
2688,1,377
2689,1466,2
2690,1220,2
2691,426,6
2692,502,3
2693,263,299
2694,60,317
2695,187,48
2696,711,2
2697,78,394
2698,117,7
2699,384,41
2700,451,267
2701,371,221
2702,316,1
2703,117,69
2704,100,364
2705,285,233
2706,293,22
2707,221,6
2708,200,1
2709,146,5
2710,91,278
2711,92,289
2712,147,3
2713,11,5
2714,149,6
2715,153,7
2716,242,4
2717,103,255
2718,107,55
2719,675,4
2720,451,4
2721,65,7
2722,1364,5
2723,901,617
2724,694,13
2725,791,2
2726,428,86
2727,203,42
2728,175,216
2729,374,1
2730,161,367
2731,301,212
2732,82,206
2733,225,9
2734,1228,1
2735,409,144
2736,345,41
2737,225,9
2738,124,122
2739,488,51
2740,385,99
2741,173,14
2742,293,2
2743,197,2
2744,103,433
2745,78,499
2746,126,6
2747,124,4
2748,166,4
2749,271,2
2750,143,2
2751,1349,1
2752,954,3
2753,560,3
2754,360,7
2755,1,94
2756,1422,6
2757,1038,9
2758,888,2
2759,965,2
2760,39,160
2761,243,4
2762,225,176
2763,299,237
2764,178,98
2765,104,12
2766,1025,2
2767,538,37
2768,381,234
2769,414,2
2770,245,41
2771,667,122
2772,462,40
2773,238,49
2774,304,2
2775,200,1
2776,92,320
2777,108,1
2778,51,436
2779,160,2
2780,14,4
2781,187,4
2782,247,2
2783,267,2
2784,1091,5
2785,833,3
2786,380,12
2787,94,18
2788,1023,6
2789,1009,520
2790,1210,2
2791,1257,2
2792,613,2
2793,175,173
2794,182,91
2795,238,51
2796,347,1
2797,46,481
2798,189,5
2799,634,5
2800,493,425
2801,391,3
2802,672,9
2803,695,181
2804,605,72
2805,292,92
2806,153,34
2807,180,2
2808,172,3
2809,127,4
2810,112,1
2811,26,487
2812,109,6
2813,8,3
2814,189,3
2815,273,1
2816,82,68
2817,1035,3
2818,446,104
2819,185,195
2820,1,75
2821,1015,419
2822,1168,4
2823,1550,1
2824,931,3
2825,187,16
2826,1,242
2827,17,389
2828,175,143
2829,145,52
2830,69,2
2831,974,6
2832,577,310
2833,940,2
2834,1216,1
2835,1146,2
2836,885,1
2837,306,81
2838,197,83
2839,178,5
2840,105,5
2841,80,446
2842,131,2
2843,111,39
2844,13,372
2845,50,2
2846,201,3
2847,107,1
2848,860,4
2849,309,330
2850,53,366
2851,501,490
2852,1145,350
2853,1236,2
2854,1110,3
2855,407,62
2856,1,169
2857,97,75
2858,210,2
2859,45,308
2860,299,6
2861,554,138
2862,873,117
2863,1212,2
2864,1016,3
2865,597,176
2866,277,239
2867,240,89
2868,272,2
2869,150,2
2870,154,2
2871,114,44
2872,158,1
2873,43,62
2874,46,8
2875,136,2
2876,1079,649
2877,529,196
2878,247,231
2879,1479,2
2880,1139,417
2881,1148,2
2882,1034,3
2883,358,45
2884,65,41
2885,185,4
2886,22,201
2887,56,7
2888,690,3
2889,930,1
2890,1149,3
2891,1095,1
2892,698,4
2893,268,531
2894,319,2
2895,281,3
2896,187,3
2897,166,2
2898,97,452
2899,118,280
2900,117,85
2901,6,176
2902,9,3
2903,132,3
2904,100,274
2905,340,1
2906,1172,1
2907,1012,81
2908,520,589
2909,737,2
2910,109,199
2911,481,0
2912,1650,1
2913,1350,3
2914,1165,2
2915,1072,4
2916,641,296
2917,135,108
2918,144,2
2919,11,440
2920,48,214
2921,423,92
2922,404,169
2923,548,1
2924,395,4
2925,285,426
2926,285,214
2927,216,462
2928,218,6
2929,155,6
2930,164,3
2931,107,418
2932,152,292
2933,79,23
2934,74,257
2935,167,1
2936,378,1
2937,1124,1
2938,1264,1
2939,1172,3
2940,241,195
2941,446,126
2942,1920,1
2943,1172,3
2944,1025,582
2945,945,7
2946,697,518
2947,144,427
2948,1,21
2949,86,98
2950,5,527
2951,78,249
2952,184,466
2953,320,24
2954,329,1
2955,282,281
2956,368,1
2957,222,285
2958,189,304
2959,162,17
2960,164,2
2961,144,340
2962,133,104
2963,48,418
2964,4,346
2965,39,539
2966,395,1
2967,633,1
2968,977,1
2969,814,15
2970,1348,2
2971,-109,130
2972,480,1
2973,247,0
2974,1809,2
2975,1506,2
2976,1105,4
2977,1073,3
2978,831,391
2979,985,2
2980,17,268
2981,245,1
2982,99,3
2983,228,8
2984,214,30
2985,199,2
2986,293,6
2987,321,2
2988,352,2
2989,231,3
2990,187,40
2991,145,196
2992,151,487
2993,110,119
2994,161,2
2995,17,191
2996,47,213
2997,1215,1
2998,1543,1
2999,1010,1
3000,740,1
3001,900,1
3002,1090,2
3003,-352,411
3004,425,1
3005,1370,20
3006,1265,41
3007,1271,2
3008,982,469
3009,1018,2
3010,1062,2
3011,333,14
3012,-2,388
3013,24,133
3014,53,380
3015,194,347
3016,111,373
3017,174,410
3018,265,557
3019,354,2
3020,232,4
3021,184,406
3022,157,102
3023,156,347
3024,154,2
3025,128,49
3026,92,6
3027,7,70
3028,1120,1
3029,1223,1
3030,852,1
3031,792,1
3032,895,1
3033,872,1
3034,24,434
3035,303,155
3036,171,0
3037,1422,184
3038,1003,70
3039,1057,147
3040,880,417
3041,903,447
3042,949,5
3043,16,136
3044,135,2
3045,60,254
3046,71,481
3047,187,216
3048,290,199
3049,315,458
3050,305,5
3051,187,9
3052,161,229
3053,142,551
3054,157,2
3055,156,3
3056,206,2
3057,27,1
3058,85,5
3059,1265,1
3060,1134,1
3061,908,1
3062,1084,1
3063,914,1
3064,923,4
3065,781,1
3066,-161,493
3067,288,383
3068,1286,191
3069,1043,221
3070,1080,5
3071,1207,1
3072,968,379
3073,1469,1
3074,661,22
3075,22,28
3076,123,26
3077,252,2
3078,141,138
3079,199,101
3080,319,2
3081,283,394
3082,224,92
3083,185,6
3084,147,329
3085,164,2
3086,120,7
3087,131,1
3088,47,1
3089,104,2
3090,116,2
3091,42,2
3092,664,1
3093,1130,1
3094,1019,1
3095,1092,1
3096,1151,1
3097,883,3
3098,860,2
3099,788,2
3100,383,255
3101,442,3
3102,2016,1
3103,1061,116
3104,931,430
3105,1142,1
3106,1112,215
3107,916,197
3108,0,38
3109,65,44
3110,135,3
3111,113,27
3112,171,137
3113,287,116
3114,317,1
3115,236,304
3116,173,356
3117,146,399
3118,142,99
3119,184,2
3120,131,3
3121,102,1
3122,86,3
3123,131,2
3124,111,2
3125,1000,1
3126,999,1
3127,933,1
3128,923,1
3129,958,1
3130,863,1
3131,738,3
3132,649,28
3133,863,5
3134,670,1
3135,937,173
3136,1014,467
3137,910,434
3138,967,204
3139,1039,221
3140,1336,249
3141,229,679
3142,10,33
3143,117,14
3144,88,36
3145,180,4
3146,271,19
3147,299,2
3148,257,151
3149,199,386
3150,163,178
3151,146,16
3152,168,7
3153,151,2
3154,128,2
3155,62,1
3156,131,2
3157,76,1
3158,1175,1
3159,966,1
3160,921,1
3161,811,1
3162,912,1
3163,875,1
3164,654,1
3165,615,5
3166,737,243
3167,933,4
3168,462,3
3169,2255,1
3170,1383,1
3171,1147,116
3172,864,366
3173,1136,64
3174,811,329
3175,260,3
3176,72,5
3177,102,23
3178,185,3
3179,266,5
3180,264,24
3181,265,1
3182,213,152
3183,183,67
3184,139,285
3185,155,5
3186,186,2
3187,148,1
3188,122,1
3189,49,1
3190,83,1
3191,60,3
3192,1004,1
3193,857,1
3194,937,1
3195,736,1
3196,734,1
3197,605,1
3198,534,1
3199,1224,2
3200,638,628
3201,1788,1
3202,271,206
3203,1234,307
3204,1221,108
3205,1315,1
3206,1007,61
3207,1375,1
3208,929,7
3209,96,12
3210,156,5
3211,204,4
3212,247,8
3213,288,2
3214,243,19
3215,201,15
3216,138,452
3217,143,4
3218,181,3
3219,179,2
3220,157,1
3221,83,1
3222,64,1
3223,67,1
3224,17,1
3225,1126,1
3226,939,1
3227,860,1
3228,807,1
3229,760,1
3230,612,1
3231,580,1
3232,641,1
3233,856,1
3234,624,552
3235,1691,2
3236,555,3
3237,7,119
3238,1107,225
3239,1338,174
3240,1050,388
3241,859,379
3242,915,79
3243,1023,12
3244,1,14
3245,43,8
3246,118,11
3247,156,8
3248,206,7
3249,264,3
3250,229,4
3251,217,4
3252,170,32
3253,130,419
3254,159,1
3255,147,3
3256,227,1
3257,161,1
3258,69,3
3259,10,1
3260,31,1
3261,1281,1
3262,978,1
3263,954,1
3264,785,1
3265,639,1
3266,585,1
3267,598,1
3268,820,1
3269,863,3
3270,762,2
3271,1324,3
3272,531,31
3273,534,2
3274,174,201
3275,2710,1
3276,1093,348
3277,1131,185
3278,758,357
3279,1169,1
3280,1186,2
3281,60,20
3282,120,23
3283,179,10
3284,243,7
3285,228,3
3286,197,4
3287,183,3
3288,139,533
3289,141,9
3290,170,1
3291,230,1
3292,156,1
3293,126,1
3294,42,5
3295,3,1
3296,1,127
3297,1121,1
3298,1015,1
3299,866,1
3300,769,1
3301,576,1
3302,568,1
3303,729,1
3304,809,3
3305,626,31
3306,738,309
3307,766,197
3308,329,252
3309,418,346
3310,726,99
3311,1497,135
3312,1135,46
3313,1351,1
3314,1040,158
3315,885,9
3316,85,32
3317,120,34
3318,217,3
3319,187,9
3320,185,2
3321,175,3
3322,134,449
3323,151,17
3324,158,21
3325,217,4
3326,177,1
3327,161,3
3328,86,8
3329,19,1
3330,33,1
3331,1165,1
3332,979,1
3333,989,1
3334,895,1
3335,748,1
3336,656,3
3337,828,3
3338,727,1
3339,651,5
3340,727,126
3341,738,482
3342,493,400
3343,452,359
3344,326,121
3345,161,673
3346,1811,2
3347,1295,286
3348,1123,235
3349,903,334
3350,706,402
3351,488,53
3352,54,25
3353,140,15
3354,179,24
3355,220,3
3356,192,3
3357,149,6
3358,156,2
3359,135,489
3360,160,39
3361,167,4
3362,273,2
3363,166,2
3364,135,2
3365,69,4
3366,977,1
3367,995,1
3368,918,1
3369,763,1
3370,724,1
3371,790,4
3372,864,2
3373,758,1
3374,693,44
3375,911,2
3376,801,2
3377,281,658
3378,477,14
3379,899,11
3380,1616,82
3381,1562,259
3382,1680,2
3383,1112,132
3384,1196,1
3385,736,200
3386,48,14
3387,98,12
3388,203,2
3389,186,6
3390,158,4
3391,169,2
3392,124,2
3393,124,414
3394,141,143
3395,159,227
3396,175,7
3397,180,3
3398,151,3
3399,99,2
3400,77,2
3401,5,474
3402,1135,1
3403,888,1
3404,942,1
3405,836,1
3406,659,3
3407,832,1
3408,835,1
3409,870,1
3410,780,1
3411,722,33
3412,592,317
3413,521,1
3414,501,3
3415,653,16
3416,605,361
3417,1728,221
3418,1318,185
3419,1175,78
3420,620,435
3421,960,2
3422,59,142
3423,1,414
3424,7,255
3425,69,10
3426,160,12
3427,184,17
3428,157,4
3429,109,8
3430,102,39
3431,112,332
3432,132,212
3433,150,188
3434,161,446
3435,210,2
3436,132,9
3437,108,3
3438,198,2
3439,75,1
3440,21,167
3441,1032,1
3442,1002,1
3443,949,1
3444,852,1
3445,708,1
3446,807,2
3447,839,2
3448,887,1
3449,852,1
3450,720,11
3451,544,154
3452,1017,1
3453,355,471
3454,479,13
3455,931,21
3456,1504,218
3457,1856,2
3458,1563,24
3459,804,346
3460,758,184
3461,155,126
3462,438,1
3463,77,1
3464,12,66
3465,42,279
3466,99,22
3467,153,45
3468,109,15
3469,110,10
3470,111,38
3471,132,2
3472,130,324
3473,136,182
3474,168,45
3475,173,377
3476,176,2
3477,154,6
3478,103,7
3479,59,7
3480,23,433
3481,23,25
3482,1164,1
3483,948,1
3484,874,1
3485,761,1
3486,576,1
3487,807,1
3488,808,1
3489,879,2
3490,760,2
3491,680,7
3492,426,558
3493,396,43
3494,358,10
3495,542,17
3496,1211,118
3497,1484,517
3498,1591,20
3499,1467,171
3500,1005,29
3501,38,366
3502,96,1
3503,3,462
3504,47,75
3505,66,205
3506,165,3
3507,178,14
3508,113,8
3509,127,2
3510,116,219
3511,120,301
3512,134,90
3513,153,177
3514,189,8
3515,159,233
3516,126,166
3517,162,2
3518,123,5
3519,79,2
3520,37,61
3521,954,1
3522,1219,1
3523,858,1
3524,786,1
3525,716,1
3526,722,1
3527,795,1
3528,793,3
3529,818,2
3530,687,1
3531,579,1
3532,597,113
3533,314,466
3534,432,12
3535,614,26
3536,1789,1
3537,1854,12
3538,1461,316
3539,1191,152
3540,305,129
3541,465,1
3542,12,255
3543,28,107
3544,70,38
3545,87,95
3546,133,39
3547,82,341
3548,110,429
3549,124,214
3550,117,462
3551,146,25
3552,149,138
3553,168,183
3554,191,4
3555,138,348
3556,171,2
3557,108,7
3558,68,10
3559,57,357
3560,31,17
3561,1029,1
3562,925,3
3563,776,1
3564,731,1
3565,677,1
3566,698,1
3567,750,2
3568,791,2
3569,740,4
3570,645,1
3571,402,412
3572,348,129
3573,360,6
3574,667,2
3575,1455,2
3576,1602,214
3577,1798,12
3578,1695,1
3579,761,49
3580,12,338
3581,16,50
3582,61,153
3583,72,205
3584,151,3
3585,81,532
3586,116,44
3587,140,28
3588,123,339
3589,129,275
3590,139,333
3591,161,230
3592,210,1
3593,140,464
3594,143,260
3595,106,123
3596,198,2
3597,39,548
3598,83,5
3599,1054,1
3600,938,2
3601,787,1
3602,718,1
3603,625,1
3604,618,1
3605,665,4
3606,719,3
3607,703,4
3608,580,1
3609,447,1
3610,681,1
3611,283,231
3612,403,9
3613,559,16
3614,1413,171
3615,2043,1
3616,1463,261
3617,1475,2
3618,3,76
3619,13,381
3620,28,64
3621,40,265
3622,114,137
3623,93,344
3624,107,35
3625,137,82
3626,143,197
3627,152,3
3628,182,2
3629,163,83
3630,186,263
3631,153,321
3632,155,160
3633,109,394
3634,107,9
3635,96,2
3636,89,1
3637,1,9
3638,952,1
3639,749,1
3640,725,1
3641,638,2
3642,550,2
3643,538,3
3644,629,1
3645,695,5
3646,604,2
3647,446,1
3648,266,349
3649,272,392
3650,352,16
3651,651,5
3652,1414,3
3653,840,542
3654,1716,348
3655,1392,396
3656,210,146
3657,1,27
3658,73,2
3659,104,132
3660,105,190
3661,99,182
3662,112,30
3663,145,3
3664,134,461
3665,164,6
3666,165,381
3667,193,3
3668,182,237
3669,179,3
3670,164,122
3671,75,446
3672,47,276
3673,72,248
3674,90,2
3675,802,1
3676,762,1
3677,733,1
3678,669,1
3679,543,4
3680,467,1
3681,513,2
3682,570,3
3683,582,1
3684,511,1
3685,292,1
3686,315,136
3687,357,8
3688,517,3
3689,632,14
3690,1067,15
3691,1505,345
3692,1275,401
3693,1022,246
3694,79,1
3695,41,3
3696,23,129
3697,122,2
3698,76,475
3699,134,3
3700,144,2
3701,145,6
3702,145,334
3703,199,1
3704,184,12
3705,223,2
3706,193,3
3707,173,175
3708,194,1
3709,48,532
3710,28,427
3711,85,2
3712,797,1
3713,742,1
3714,744,1
3715,660,2
3716,578,2
3717,447,4
3718,395,1
3719,495,3
3720,527,1
3721,496,2
3722,345,1
3723,202,465
3724,326,11
3725,403,17
3726,779,4
3727,1271,4
3728,878,502
3729,1971,2
3730,1982,2
3731,76,4
3732,128,1
3733,104,540
3734,122,4
3735,161,3
3736,173,4
3737,186,3
3738,151,475
3739,166,232
3740,187,19
3741,187,12
3742,159,174
3743,189,2
3744,119,1
3745,146,1
3746,28,437
3747,708,1
3748,697,1
3749,691,1
3750,608,3
3751,458,3
3752,383,3
3753,370,5
3754,476,2
3755,448,1
3756,411,1
3757,192,224
3758,246,314
3759,480,2
3760,465,64
3761,980,3
3762,1037,380
3763,2511,1
3764,1728,9
3765,322,149
3766,1,333
3767,165,2
3768,139,2
3769,123,281
3770,120,187
3771,143,13
3772,171,7
3773,172,13
3774,175,81
3775,183,199
3776,214,2
3777,218,7
3778,185,22
3779,142,468
3780,99,3
3781,87,202
3782,75,2
3783,1,369
3784,633,1
3785,670,1
3786,668,1
3787,603,1
3788,458,1
3789,372,1
3790,314,2
3791,339,3
3792,423,2
3793,417,1
3794,201,27
3795,210,202
3796,282,473
3797,368,148
3798,934,4
3799,957,454
3800,1210,159
3801,1971,2
3802,1681,3
3803,2,2
3804,201,1
3805,124,389
3806,129,6
3807,171,2
3808,133,26
3809,186,7
3810,197,2
3811,177,364
3812,212,3
3813,215,2
3814,241,2
3815,173,188
3816,91,291
3817,76,115
3818,122,2
3819,37,209
3820,597,1
3821,611,1
3822,630,1
3823,514,1
3824,373,1
3825,324,4
3826,301,1
3827,332,3
3828,362,2
3829,343,1
3830,207,194
3831,302,13
3832,333,532
3833,664,131
3834,707,392
3835,1349,119
3836,1748,81
3837,1675,285
3838,219,74
3839,97,2
3840,86,488
3841,130,347
3842,118,482
3843,162,5
3844,153,11
3845,193,4
3846,189,6
3847,191,6
3848,191,57
3849,218,2
3850,183,14
3851,196,123
3852,181,59
3853,95,2
3854,75,394
3855,58,375
3856,30,42
3857,584,767
3858,590,1
3859,569,1
3860,547,1
3861,398,3
3862,346,3
3863,312,3
3864,290,3
3865,286,4
3866,299,2
3867,240,3
3868,279,158
3869,336,41
3870,397,222
3871,639,496
3872,1006,182
3873,1537,207
3874,1897,254
3875,1537,194
3876,384,2
3877,1,6
3878,232,2
3879,167,2
3880,111,449
3881,116,22
3882,196,8
3883,205,3
3884,217,7
3885,187,462
3886,210,4
3887,243,1
3888,210,12
3889,207,79
3890,80,409
3891,82,2
3892,86,191
3893,95,1
3894,666,1
3895,507,723
3896,540,1
3897,511,1
3898,440,5
3899,382,3
3900,324,2
3901,238,1
3902,211,3
3903,170,1
3904,155,5
3905,284,2
3906,258,155
3907,365,191
3908,939,1
3909,1048,71
3910,1450,233
3911,1638,480
3912,1797,143
3913,10,11
3914,-1,5
3915,15,6
3916,77,133
3917,178,2
3918,133,410
3919,137,7
3920,169,10
3921,204,2
3922,225,2
3923,233,2
3924,194,390
3925,228,2
3926,216,3
3927,185,229
3928,261,1
3929,61,234
3930,61,346
3931,114,1
3932,607,2
3933,517,247
3934,496,1
3935,419,2
3936,381,1
3937,330,2
3938,276,2
3939,151,1
3940,127,2
3941,114,4
3942,248,4
3943,236,409
3944,409,2
3945,530,102
3946,677,419
3947,1516,34
3948,2262,1
3949,2147,3
3950,346,342
3951,96,11
3952,14,4
3953,126,2
3954,194,2
3955,100,510
3956,162,10
3957,194,9
3958,203,12
3959,224,63
3960,211,25
3961,221,4
3962,228,2
3963,252,2
3964,233,102
3965,87,192
3966,16,471
3967,67,54
3968,42,17
3969,589,1
3970,535,2
3971,464,37
3972,409,1
3973,391,2
3974,340,2
3975,236,3
3976,148,1
3977,42,3
3978,76,2
3979,115,1
3980,225,154
3981,239,60
3982,383,93
3983,819,142
3984,1228,198
3985,1716,85
3986,1877,341
3987,2435,1
3988,1034,1
3989,260,1
3990,50,3
3991,25,1
3992,35,4
3993,79,7
3994,265,2
3995,94,598
3996,162,9
3997,191,8
3998,201,12
3999,231,1
4000,216,67
4001,202,333
4002,214,41
4003,225,2
4004,249,88
4005,228,280
4006,52,180
4007,51,101
4008,65,14
4009,510,4
4010,451,259
4011,416,3
4012,345,1
4013,339,2
4014,224,1
4015,93,1
4016,34,1
4017,63,2
4018,49,182
4019,100,268
4020,194,495
4021,394,38
4022,418,68
4023,1013,185
4024,1351,317
4025,2122,168
4026,2577,2
4027,916,263
4028,811,1
4029,92,9
4030,42,5
4031,42,8
4032,44,28
4033,108,49
4034,146,199
4035,155,9
4036,148,8
4037,207,5
4038,228,5
4039,226,247
4040,213,16
4041,202,188
4042,220,317
4043,209,299
4044,217,431
4045,200,41
4046,46,262
4047,47,172
4048,524,3
4049,408,234
4050,407,39
4051,353,1
4052,329,2
4053,221,4
4054,101,2
4055,45,1
