Cell,Elevation,Times Changed Hands
523,608,43
524,194,4
525,250,2
526,98,205
527,688,9
528,694,72
529,763,7
530,650,300
531,904,6
532,1184,2
533,751,142
534,394,154
535,1228,2
536,149,227
537,121,34
538,120,16
539,377,2
540,282,3
541,133,221
542,157,40
543,84,392
544,188,2
545,230,4
546,233,2
547,36,23
548,18,290
549,25,75
550,26,2
551,1,391
552,21,103
553,11,455
554,424,138
555,476,117
556,498,6
557,353,570
558,850,24
559,1613,88
560,2200,2
561,592,334
562,817,158
563,397,20
564,139,571
565,1124,1
566,958,83
567,546,306
568,817,3
569,818,212
570,1040,7
571,1149,26
572,295,383
573,802,2
574,749,138
575,163,62
576,116,181
577,242,7
578,514,3
579,263,5
580,230,86
581,124,90
582,86,452
583,161,151
584,387,2
585,242,2
586,51,151
587,71,69
588,59,3
589,17,11
590,3,73
591,15,280
592,36,2
593,446,8
594,454,121
595,485,4
596,534,2
597,402,544
598,1451,36
599,1170,224
600,2177,178
601,1336,80
602,1113,43
603,561,2
604,557,1
605,1171,2
606,1078,282
607,710,5
608,853,2
609,990,3
610,1448,1
611,861,34
612,345,74
613,1370,1
614,331,247
615,109,479
616,186,14
617,458,11
618,486,3
619,226,298
620,233,58
621,163,149
622,119,417
623,230,151
624,448,7
625,240,5
626,114,40
627,52,103
628,37,6
629,19,8
630,21,230
631,1,431
632,11,516
633,426,86
634,390,249
635,494,2
636,426,4
637,487,434
638,1372,21
639,1616,295
640,2025,185
641,1180,254
642,1442,1
643,261,503
644,1422,1
645,2330,1
646,1251,2
647,1289,2
648,711,281
649,1257,2
650,1253,95
651,235,409
652,492,327
653,1265,223
654,197,103
655,196,6
656,335,19
657,738,8
658,477,10
659,232,284
660,278,95
661,216,125
662,279,28
663,330,3
664,498,1
665,69,265
666,94,189
667,107,5
668,22,9
669,57,2
670,45,4
671,6,29
672,28,5
673,31,7
674,420,237
675,365,21
676,530,2
677,728,2
678,951,42
679,1171,296
680,2304,1
681,2108,1
682,1843,2
683,1162,2
684,493,397
685,308,1
686,1140,521
687,1493,1
688,704,547
689,872,5
690,1094,122
691,794,144
692,293,254
693,1166,287
694,401,85
695,150,489
696,338,6
697,760,4
698,468,27
699,240,105
700,585,1
701,295,135
702,305,39
703,254,169
704,261,12
705,293,17
706,402,223
707,96,26
708,55,8
709,81,2
710,41,503
711,12,29
712,413,75
713,428,2
714,401,1
715,590,4
716,508,416
717,1129,60
718,1776,1
719,2015,134
720,1767,130
721,2017,1
722,910,5
723,1300,2
724,1236,2
725,1177,1
726,494,389
727,868,3
728,680,82
729,1294,2
730,204,464
731,504,83
732,2250,1
733,274,12
734,321,4
735,612,18
736,930,1
737,481,6
738,365,194
739,507,2
740,404,1
741,239,426
742,268,13
743,459,2
744,426,4
745,633,2
746,234,8
747,62,4
748,55,6
749,50,2
750,96,5
751,394,250
752,426,2
753,484,1
754,659,5
755,615,355
756,918,190
757,1258,45
758,1597,289
759,1417,299
760,1856,2
761,602,372
762,457,1
763,844,312
764,886,1
765,740,3
766,696,7
767,703,64
768,913,2
769,313,34
770,878,78
771,755,4
772,202,510
773,668,7
774,910,10
775,838,21
776,390,4
777,276,314
778,267,358
779,334,68
780,257,298
781,437,3
782,367,9
783,318,307
784,280,19
785,177,9
786,62,8
787,29,549
788,19,3
789,63,10
790,327,401
791,411,1
792,509,3
793,694,1
794,715,155
795,890,91
796,987,275
797,1662,106
798,1026,357
799,1387,4
800,886,3
801,183,66
802,190,129
803,143,613
804,517,5
805,28,174
806,340,50
807,283,241
808,342,35
809,1738,2
810,342,7
811,716,3
812,816,10
813,924,28
814,404,19
815,192,489
816,205,395
817,255,453
818,295,175
819,315,170
820,264,7
821,297,333
822,259,77
823,200,10
824,110,4
825,40,325
826,58,5
827,3,17
828,373,223
829,367,5
830,434,1
831,598,4
832,549,451
833,873,72
834,745,448
835,1050,145
836,1813,1
837,863,445
838,595,556
839,341,446
840,394,4
841,136,3
842,199,188
843,535,30
844,1418,3
845,79,418
846,748,4
847,1247,2
848,1012,2
849,280,412
850,499,50
851,382,24
852,680,1
853,558,2
854,377,3
855,111,435
856,418,2
857,316,1
858,689,2
859,92,5
860,67,3
861,14,9
862,1,538
863,354,417
864,414,3
865,456,7
866,586,193
867,663,70
868,745,289
869,821,179
870,1193,120
871,1244,116
872,1191,305
873,657,240
874,75,485
875,19,99
876,200,3
877,251,16
878,747,3
879,143,461
880,267,6
881,546,6
882,799,19
883,244,465
884,572,12
885,920,2
886,461,118
887,186,330
888,127,462
889,103,496
890,290,331
891,513,1
892,282,4
893,108,7
894,35,520
895,77,2
896,11,15
897,376,28
898,368,540
899,449,4
900,499,22
901,593,24
902,659,279
903,759,46
904,1005,83
905,1222,52
906,1541,1
907,1379,2
908,716,3
909,1,17
910,644,2
911,332,2
912,121,4
913,249,161
914,253,516
915,466,232
916,562,117
917,1030,5
918,369,358
919,471,53
920,292,368
921,394,1
922,275,482
923,603,2
924,203,3
925,85,114
926,47,5
927,15,131
928,380,6
929,374,530
930,433,55
931,495,341
932,567,125
933,680,138
934,951,32
935,945,192
936,1171,175
937,1194,218
938,1007,8
939,514,4
940,203,8
941,73,228
942,540,325
943,689,52
944,1006,159
945,740,58
946,776,3
947,964,1
948,499,87
949,372,110
950,312,3
951,333,107
952,334,3
953,75,227
954,36,464
955,89,1
956,1,463
957,385,5
958,405,23
959,440,206
960,509,275
961,559,285
962,789,23
963,957,30
964,1110,59
965,1319,14
966,1104,103
967,1163,2
968,367,6
969,176,10
970,187,358
971,1243,1
972,1244,272
973,2032,3
974,1192,18
975,484,256
976,725,2
977,468,308
978,447,2
979,309,462
980,605,1
981,122,261
982,95,38
983,64,3
984,21,353
985,446,2
986,379,318
987,427,69
988,467,144
989,555,163
990,682,24
991,800,26
992,805,217
993,1047,416
994,1237,194
995,1122,3
996,1097,3
997,181,26
998,1,278
999,69,319
1000,909,2
1001,2551,1
1002,2319,2
1003,1351,62
1004,1221,1
1005,454,434
1006,580,173
1007,602,1
1008,439,87
1009,457,320
1010,321,374
1011,119,119
1012,40,269
1013,20,491
1014,27,3
1015,460,2
1016,381,504
1017,422,246
1018,571,2
1019,570,16
1020,694,22
1021,637,369
1022,872,248
1023,1285,179
1024,1135,33
1025,1200,2
1026,792,2
1027,113,407
1028,402,0
1029,549,2
1030,1409,2
1031,1954,268
1032,1501,46
1033,2147,3
1034,1148,204
1035,401,402
1036,525,307
1037,514,2
1038,468,182
1039,600,227
1040,213,151
1041,85,116
1042,30,391
1043,50,3
1044,11,6
1045,426,5
1046,386,503
1047,433,56
1048,492,81
1049,640,18
1050,620,333
1051,800,210
1052,1437,2
1053,1300,1
1054,1045,19
1055,1178,4
1056,541,202
1057,218,66
1058,1,0
1059,444,1
1060,1314,5
1061,2278,2
1062,408,214
1063,1596,2
1064,2167,1
1065,1116,214
1066,774,3
1067,500,478
1068,481,2
1069,487,72
1070,552,74
1071,111,169
1072,56,92
1073,73,2
1074,133,2
1075,456,5
1076,405,3
1077,398,72
1078,458,52
1079,555,54
1080,579,273
1081,653,71
1082,816,86
1083,1193,25
1084,1268,1
1085,1062,71
1086,1165,3
1087,562,179
1088,322,16
1089,115,0
1090,535,2
1091,2006,3
1092,244,189
1093,174,271
1094,570,200
1095,1259,263
1096,1756,4
1097,717,86
1098,441,354
1099,400,351
1100,722,1
1101,412,12
1102,74,151
1103,36,436
1104,98,2
1105,514,1
1106,394,234
1107,396,44
1108,464,49
1109,636,13
1110,602,188
1111,706,73
1112,874,12
1113,1325,1
1114,1117,62
1115,1042,328
1116,1040,190
1117,607,35
1118,257,159
1119,649,3
1120,489,6
1121,223,213
1122,192,137
1123,971,319
1124,2247,2
1125,1445,8
1126,578,57
1127,393,327
1128,518,4
1129,324,67
1130,183,102
1131,59,226
1132,43,365
1133,149,1
1134,471,2
1135,373,362
1136,370,43
1137,565,10
1138,503,503
1139,679,9
1140,786,25
1141,968,4
1142,1283,1
1143,1096,294
1144,1052,222
1145,840,241
1146,582,44
1147,286,109
1148,699,3
1149,435,2
1150,106,455
1151,394,242
1152,2373,1
1153,1958,2
1154,1075,279
1155,482,23
1156,469,149
1157,429,113
1158,357,7
1159,147,144
1160,70,131
1161,77,338
1162,432,4
1163,378,50
1164,362,104
1165,529,10
1166,566,15
1167,604,16
1168,721,6
1169,830,7
1170,1061,2
1171,1284,270
1172,1091,170
1173,1051,177
1174,928,6
1175,484,168
1176,202,39
1177,320,192
1178,75,402
1179,1166,40
1180,1886,132
1181,1190,433
1182,475,353
1183,339,483
1184,463,198
1185,238,256
1186,245,248
1187,72,174
1188,90,42
1189,420,2
1190,347,265
1191,350,30
1192,437,16
1193,504,381
1194,627,6
1195,738,4
1196,862,3
1197,1043,332
1198,1303,5
1199,1048,312
1200,1129,2
1201,866,170
1202,440,143
1203,406,3
1204,83,118
1205,1273,162
1206,1913,364
1207,1114,143
1208,429,184
1209,975,1
1210,353,321
1211,329,266
1212,160,92
1213,70,227
1214,91,362
1215,377,6
1216,346,121
1217,337,141
1218,402,13
1219,402,396
1220,522,9
1221,612,14
1222,747,1
1223,743,147
1224,1071,170
1225,1392,1
1226,1082,257
1227,1137,1
1228,1107,4
1229,81,138
1230,35,309
1231,308,143
1232,1508,289
1233,2269,1
1234,929,22
1235,394,441
1236,447,89
1237,237,453
1238,447,2
1239,91,318
1240,100,2
1241,344,31
1242,325,297
1243,328,77
1244,374,263
1245,432,68
1246,548,7
1247,625,2
1248,765,5
1249,852,141
1250,1082,13
1251,1374,2
1252,954,424
1253,731,437
1254,873,1
1255,78,342
1256,667,2
1257,19,289
1258,473,235
1259,1979,1
1260,1519,1
1261,597,4
1262,817,2
1263,446,55
1264,359,143
1265,112,153
1266,106,2
1267,318,142
1268,337,13
1269,333,47
1270,378,113
1271,475,7
1272,553,3
1273,623,12
1274,735,135
1275,827,131
1276,1340,4
1277,1273,2
1278,876,437
1279,672,423
1280,746,209
1281,365,98
1282,33,148
1283,13,251
1284,540,107
1285,2047,2
1286,1156,1
1287,486,507
1288,444,67
1289,352,365
1290,564,1
1291,101,247
1292,88,55
1293,312,36
1294,310,202
1295,294,49
1296,303,235
1297,378,33
1298,501,2
1299,575,5
1300,659,25
1301,705,308
1302,859,5
1303,1265,5
1304,1121,3
1305,902,25
1306,773,303
1307,509,186
1308,1413,0
1309,1,0
1310,944,1
1311,7,265
1312,15,147
1313,1220,3
1314,1732,3
1315,630,2
1316,647,6
1317,517,207
1318,426,188
1319,121,364
1320,149,3
1321,304,132
1322,270,202
1323,254,380
1324,290,129
1325,410,6
1326,506,9
1327,557,41
1328,608,409
1329,729,19
1330,876,3
1331,922,127
1332,1069,231
1333,873,5
1334,1029,1
1335,780,132
1336,504,0
1337,0,0
1338,32,308
1339,181,135
1340,-2,232
1341,21,29
1342,1178,2
1343,1290,3
1344,379,582
1345,521,3
1346,540,4
1347,280,185
1348,181,3
1349,284,83
1350,213,477
1351,245,504
1352,260,485
1353,423,10
1354,512,36
1355,562,87
1356,625,51
1357,715,9
1358,847,18
1359,930,202
1360,1104,2
1361,531,360
1362,939,4
1363,1,142
1364,7,0
1365,257,96
1366,376,235
1367,-4,421
1368,599,5
1369,1397,4
1370,874,3
1371,551,3
1372,500,247
1373,633,1
1374,155,267
1375,159,5
1376,282,62
1377,180,535
1378,262,8
1379,269,216
1380,335,343
1381,465,19
1382,536,91
1383,557,340
1384,610,32
1385,777,11
1386,731,130
1387,1178,1
1388,1000,3
1389,719,180
1390,832,183
1391,155,0
1392,406,2
1393,19,132
1394,780,9
1395,1380,3
1396,413,288
1397,300,55
1398,470,149
1399,235,417
1400,205,2
1401,231,219
1402,250,2
1403,305,2
1404,328,220
1405,371,324
1406,475,53
