trial,power_decline,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
195,3.5,32,8,4,1,2,3,3,1,0,0,0,0,1
196,3.6,22,11,5,1,5,2,1,2,0,0,0,0,1
197,3.9,23,12,2,1,3,0,2,1,0,1,0,0,2
198,3.8,30,6,2,1,1,4,2,1,0,1,0,0,1
199,4.0,36,11,0,1,5,1,2,1,0,0,0,0,1
200,4.1,23,7,2,1,4,2,1,0,1,0,0,0,2
201,4.2,33,4,8,3,1,4,0,0,0,0,1,0,1
202,4.7,19,3,1,1,2,1,0,0,1,3,1,1,1
203,4.6,20,1,4,2,0,1,1,3,0,0,2,1,1
204,4.4,32,5,4,4,3,3,0,2,0,0,0,0,1
205,4.3,27,9,5,2,3,3,0,1,1,1,0,0,1
206,4.5,26,7,5,1,4,0,3,1,0,0,0,0,1
207,4.8,13,5,6,4,1,0,1,2,1,0,0,1,1
208,4.9,17,4,4,2,0,2,0,1,0,2,0,1,2
209,5.0,10,9,4,2,3,2,0,0,0,2,2,0,1
210,5.3,9,1,3,2,1,1,1,0,2,1,0,1,2
211,5.4,19,2,2,2,3,1,0,0,2,0,0,0,1
212,5.2,21,7,6,2,0,1,0,0,0,2,1,0,2
213,5.5,14,4,5,0,6,1,2,1,0,0,1,0,1
214,5.1,30,13,2,2,2,1,3,0,0,0,0,0,2
215,5.6,24,8,1,5,1,1,1,0,0,1,0,0,2
216,5.8,15,8,3,0,1,0,3,1,1,1,0,0,2
217,5.7,25,6,4,5,1,1,1,2,0,0,0,1,1
218,5.9,13,9,1,2,0,3,2,0,0,1,0,0,2
219,6.0,17,9,3,3,3,2,2,0,0,1,0,0,1
220,6.1,20,7,5,6,2,4,1,2,0,0,0,0,0
221,6.3,12,9,3,0,1,0,4,1,0,1,0,0,2
222,6.2,15,10,6,1,2,2,0,1,0,0,0,0,2
223,6.4,17,6,3,0,1,1,0,2,0,2,0,2,1
224,6.5,16,8,3,1,1,1,1,0,1,0,0,0,2
225,6.6,7,4,3,0,0,1,1,4,0,1,0,0,2
226,6.7,8,7,2,2,0,0,1,1,0,1,1,0,3
227,7.0,10,5,1,2,1,0,3,0,0,0,0,0,2
228,6.8,14,5,4,1,1,3,0,1,0,0,0,0,3
229,7.1,8,0,3,2,1,1,1,0,1,0,0,3,2
230,6.9,15,9,2,0,0,3,1,2,1,0,0,0,2
231,7.2,17,5,6,3,6,3,1,0,1,1,0,0,0
232,7.3,14,6,3,1,1,2,1,0,2,0,0,0,2
233,7.5,16,8,3,1,2,1,2,1,0,0,0,0,2
234,7.4,15,5,1,1,0,1,1,1,3,0,0,1,2
235,7.7,11,8,2,2,0,0,0,0,0,1,0,1,4
236,7.6,12,5,4,0,2,2,0,3,0,0,0,0,1
237,7.8,15,5,2,0,4,0,1,0,2,0,1,0,2
238,8.0,14,2,3,2,3,4,0,0,1,0,0,0,3
239,7.9,9,8,3,1,1,1,2,0,0,1,2,0,1
