trial,use_elevation,power_decline,Average Empire Area,Number of Empires,5-50 Hexes,51-100 Hexes,101-150 Hexes,151-200 Hexes,201-250 Hexes,251-300 Hexes,301-350 Hexes,351-400 Hexes,401-450 Hexes,451-500 Hexes,501-550 Hexes,551-600 Hexes,601 or more Hexes
61,True,6.2,314.7647058823529,17,11,1,0,0,0,0,1,0,0,0,1,0,3
62,True,6.3,406.6923076923077,13,8,1,0,0,0,0,0,0,0,0,0,0,4
63,True,6.4,257.2857142857143,21,16,0,1,0,0,0,0,0,0,0,1,0,3
64,True,6.5,446.5833333333333,12,9,0,0,0,0,0,0,0,0,0,0,0,3
65,True,6.6,411.46153846153845,13,8,2,0,0,0,0,0,0,0,0,0,0,3
66,True,6.9,256.76190476190476,21,15,1,0,0,0,0,1,0,0,0,0,0,4
67,True,6.7,531.6,10,6,0,0,0,0,0,0,0,0,0,1,1,2
68,True,6.8,223.41666666666666,24,21,0,0,0,0,0,0,0,0,0,0,0,3
69,True,7.1,316.88235294117646,17,12,1,1,0,0,0,0,0,0,0,0,0,3
70,True,7.2,355.6666666666667,15,9,1,0,1,0,1,0,0,0,0,0,1,2
71,True,7.0,385.07142857142856,14,11,0,0,0,0,0,0,0,1,0,0,0,2
72,True,7.3,445.25,12,9,0,1,0,0,0,0,0,0,0,0,0,2
73,True,7.4,299.6111111111111,18,13,1,0,0,1,0,0,0,0,0,0,0,3
74,True,7.6,533.6,10,5,1,0,0,0,0,0,0,0,0,1,0,3
75,True,7.7,334.5,16,11,1,0,0,1,0,0,0,0,0,0,0,3
76,True,7.5,413.84615384615387,13,10,0,0,0,0,0,0,0,0,0,0,0,3
77,True,7.9,442.1666666666667,12,7,0,1,0,0,0,0,0,0,0,0,0,4
78,True,8.0,270.5,20,15,0,0,1,0,0,0,0,0,0,0,0,4
79,True,7.8,530.3,10,5,0,1,0,1,0,0,1,0,0,0,0,2
80,False,0.1,8.098484848484848,132,132,0,0,0,0,0,0,0,0,0,0,0,0
81,False,0.2,12.738805970149254,134,134,0,0,0,0,0,0,0,0,0,0,0,0
82,False,0.5,37.056179775280896,89,59,29,1,0,0,0,0,0,0,0,0,0,0
83,False,0.3,18.78030303030303,132,130,2,0,0,0,0,0,0,0,0,0,0,0
84,False,0.4,25.05,140,132,8,0,0,0,0,0,0,0,0,0,0,0
85,False,0.6,59.61363636363637,88,40,30,18,0,0,0,0,0,0,0,0,0,0
86,False,0.7,72.72619047619048,84,32,32,12,7,1,0,0,0,0,0,0,0,0
87,False,0.8,103.1864406779661,59,17,16,11,9,4,1,1,0,0,0,0,0,0
88,False,0.9,139.3095238095238,42,7,9,10,7,4,3,1,0,0,1,0,0,0
89,False,1.0,154.1081081081081,37,7,8,5,5,4,4,3,0,1,0,0,0,0
90,False,1.2,221.08,25,3,1,2,3,6,4,3,2,1,0,0,0,0
91,False,1.1,184.1,30,7,4,3,2,5,2,4,1,1,1,0,0,0
92,False,1.3,246.22727272727272,22,3,3,3,3,0,3,0,2,1,0,1,2,1
93,False,1.4,265.85,20,3,1,1,2,1,2,4,3,0,1,2,0,0
